Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
30 January ,1,1,0,0,0,0
31 January ,0,1,0,0,0,0
01 February ,0,1,0,0,0,0
02 February ,1,2,0,0,0,0
03 February ,1,3,0,0,0,0
04 February ,0,3,0,0,0,0
05 February ,0,3,0,0,0,0
06 February ,0,3,0,0,0,0
07 February ,0,3,0,0,0,0
08 February ,0,3,0,0,0,0
09 February ,0,3,0,0,0,0
10 February ,0,3,0,0,0,0
11 February ,0,3,0,0,0,0
12 February ,0,3,0,0,0,0
13 February ,0,3,1,1,0,0
14 February ,0,3,0,1,0,0
15 February ,0,3,0,1,0,0
16 February ,0,3,1,2,0,0
17 February ,0,3,0,2,0,0
18 February ,0,3,0,2,0,0
19 February ,0,3,0,2,0,0
20 February ,0,3,1,3,0,0
21 February ,0,3,0,3,0,0
22 February ,0,3,0,3,0,0
23 February ,0,3,0,3,0,0
24 February ,0,3,0,3,0,0
25 February ,0,3,0,3,0,0
26 February ,0,3,0,3,0,0
27 February ,0,3,0,3,0,0
28 February ,0,3,0,3,0,0
29 February ,0,3,0,3,0,0
01 March ,0,3,0,3,0,0
02 March ,2,5,0,3,0,0
03 March ,1,6,0,3,0,0
04 March ,22,28,0,3,0,0
05 March ,2,30,0,3,0,0
06 March ,1,31,0,3,0,0
07 March ,3,34,0,3,0,0
08 March ,5,39,0,3,0,0
09 March ,9,48,0,3,0,0
10 March ,15,63,1,4,0,0
11 March ,8,71,0,4,0,0
12 March ,10,81,0,4,1,1
13 March ,10,91,6,10,0,1
14 March ,11,102,0,10,1,2
15 March ,10,112,3,13,0,2
16 March ,14,126,1,14,0,2
17 March ,20,146,1,15,1,3
18 March ,25,171,0,15,0,3
19 March ,27,198,5,20,1,4
20 March ,58,256,3,23,0,4
21 March ,78,334,0,23,0,4
22 March ,69,403,0,23,3,7
23 March ,94,497,2,25,2,9
24 March ,74,571,15,40,1,10
25 March ,86,657,3,43,1,11
26 March ,73,730,7,50,5,16
27 March ,153,883,25,75,3,19
28 March ,136,1019,10,85,5,24
29 March ,120,1139,17,102,3,27
30 March ,187,1326,35,137,14,41
31 March ,309,1635,13,150,6,47
01 April ,424,2059,19,169,6,53
02 April ,486,2545,22,191,16,69
03 April ,560,3105,39,230,14,83
04 April ,579,3684,56,286,13,96
05 April ,609,4293,43,329,22,118
06 April ,484,4777,65,394,16,134
07 April ,573,5350,75,469,27,161
08 April ,565,5915,96,565,20,181
09 April ,813,6728,70,635,46,227
10 April ,871,7599,151,786,22,249
11 April ,854,8453,186,972,41,290
12 April ,758,9211,114,1086,42,332
13 April ,1243,10454,112,1198,27,359
14 April ,1031,11485,167,1365,37,396
15 April ,886,12371,144,1509,27,423
16 April ,1061,13432,258,1767,26,449
17 April ,922,14354,273,2040,38,487
18 April ,1371,15725,426,2466,35,522
19 April ,1580,17305,388,2854,38,560
20 April ,1239,18544,419,3273,33,593
21 April ,1537,20081,703,3976,53,646
22 April ,1292,21373,394,4370,36,682
23 April ,1667,23040,642,5012,40,722
24 April ,1408,24448,484,5496,59,781
25 April ,1835,26283,442,5938,44,825
26 April ,1607,27890,585,6523,56,881
27 April ,1568,29458,580,7103,58,939
28 April ,1902,31360,636,7739,69,1008
29 April ,1705,33065,690,8429,71,1079
30 April ,1801,34866,630,9059,75,1154
01 May ,2396,37262,962,10021,77,1231
02 May ,2564,39826,831,10852,92,1323
03 May ,2952,42778,911,11763,140,1463
04 May ,3656,46434,1082,12845,103,1566
05 May ,2971,49405,1295,14140,128,1694
06 May ,3602,53007,1161,15301,91,1785
07 May ,3344,56351,1475,16776,104,1889
08 May ,3339,59690,1111,17887,97,1986
09 May ,3175,62865,1414,19301,115,2101
10 May ,4311,67176,1669,20970,112,2213
11 May ,3592,70768,1579,22549,81,2294
12 May ,3562,74330,1905,24454,120,2414
13 May ,3726,78056,1963,26417,137,2551
14 May ,3991,82047,1594,28011,97,2648
15 May ,3808,85855,2234,30245,104,2752
16 May ,4794,90649,4012,34257,120,2872
17 May ,5049,95698,2538,36795,152,3024
18 May ,4628,100326,2482,39277,131,3155
19 May ,6154,106480,3032,42309,146,3301
20 May ,5720,112200,3113,45422,134,3435
21 May ,6023,118223,3131,48553,148,3583
22 May ,6536,124759,3280,51833,142,3725
23 May ,6667,131424,2576,54409,142,3867
24 May ,7111,138537,3285,57694,156,4023
25 May ,6414,144951,3012,60706,150,4173
26 May ,5907,150858,3585,64291,173,4346
27 May ,7246,158104,3434,67725,188,4534
28 May ,7254,165358,3171,70896,176,4710
29 May ,8138,173496,11735,82631,269,4979
30 May ,8364,181860,4303,86934,205,5184
31 May ,8789,190649,4928,91862,222,5406
01 June ,7723,198372,3882,95744,201,5607
02 June ,8812,207187,4531,100275,222,5829
03 June ,9689,216876,3789,104064,259,6088
04 June ,9847,226723,4390,108454,274,6362
05 June ,9472,236195,4770,113224,286,6648
06 June ,10408,246603,5433,118657,297,6945
07 June ,10882,257485,5191,123848,261,7206
08 June ,8536,266021,5171,129019,271,7477
09 June ,9981,276002,5634,134653,272,7749
10 June ,11156,287158,6275,140928,358,8107
11 June ,11135,298293,6044,146972,394,8501
12 June ,11306,309599,7263,154235,388,8889
13 June ,12039,321638,8092,162327,309,9198
14 June ,11405,333043,7358,169685,324,9522
